passage_id,neighbor_id,rank,similarity
p0115,p0960,2,0.836982
p0115,p1509,3,0.827909
p0115,p0398,4,0.827476
p0115,p1230,5,0.826385
p0116,p0370,1,0.683769
p0116,p0157,2,0.669629
p0116,p0176,3,0.661057
p0116,p0238,4,0.649249
p0116,p1579,5,0.645331
p0117,p0325,1,0.750802
p0117,p0108,2,0.737269
p0117,p0127,3,0.736020
p0117,p0074,4,0.721664
p0117,p0106,5,0.714509
p0118,p0126,1,0.771522
p0118,p0434,2,0.691285
p0118,p0092,3,0.663383
p0118,p1722,4,0.658467
p0118,p0054,5,0.657380
p0119,p0438,1,0.760235
p0119,p0178,2,0.751955
p0119,p0127,3,0.750538
p0119,p0191,4,0.742290
p0119,p0113,5,0.730085
p0120,p0192,1,0.745449
p0120,p0300,2,0.737593
p0120,p0128,3,0.736345
p0120,p0124,4,0.726866
p0120,p0136,5,0.725549
p0121,p0434,1,0.836776
p0121,p0882,2,0.785872
p0121,p0122,3,0.760011
p0121,p0126,4,0.757814
p0121,p0350,5,0.756070
p0122,p0125,1,0.794807
p0122,p0130,2,0.774167
p0122,p0432,3,0.768806
p0122,p0121,4,0.760011
p0122,p0194,5,0.745625
p0123,p0124,1,0.836044
p0123,p0125,2,0.760480
p0123,p0130,3,0.715969
p0123,p0122,4,0.685403
p0123,p0438,5,0.684532
p0124,p0123,1,0.836044
p0124,p0125,2,0.763011
p0124,p0130,3,0.750738
p0124,p0182,4,0.735209
p0124,p0438,5,0.731955
p0125,p0122,1,0.794807
p0125,p0139,2,0.791911
p0125,p0137,3,0.789227
p0125,p0337,4,0.781107
p0125,p0124,5,0.763011
p0126,p0434,1,0.793957
p0126,p0118,2,0.771522
p0126,p0121,3,0.757814
p0126,p0433,4,0.730243
p0126,p0275,5,0.727434
p0127,p0459,1,0.834400
p0127,p0178,2,0.822132
p0127,p0453,3,0.820261
p0127,p0237,4,0.817601
p0127,p0415,5,0.806869
p0128,p0176,1,0.804938
p0128,p0181,2,0.792748
p0128,p0367,3,0.778140
p0128,p0337,4,0.757131
p0128,p0370,5,0.756476
p0129,p0127,1,0.796997
p0129,p0181,2,0.792294
p0129,p0082,3,0.780757
p0129,p0996,4,0.770404
p0129,p1576,5,0.768138
p0130,p0337,1,0.801808
p0130,p0110,2,0.798573
p0130,p0135,3,0.782417
p0130,p0440,4,0.775266
p0130,p0122,5,0.774167
p0131,p0130,1,0.744180
p0131,p0124,2,0.724872
p0131,p0128,3,0.671486
p0131,p0176,4,0.659517
p0131,p0120,5,0.644997
p0132,p0138,1,0.842588
p0132,p0139,2,0.818986
p0132,p0324,3,0.816685
p0132,p0265,4,0.807912
p0132,p0353,5,0.797006
p0133,p0379,1,0.658441
p0133,p0157,2,0.647460
p0133,p0370,3,0.645266
p0133,p0144,4,0.638080
p0133,p0373,5,0.637730
p0134,p0169,1,0.847368
p0134,p0322,2,0.831996
p0134,p0213,3,0.830084
p0134,p0337,4,0.827928
p0134,p0289,5,0.825761
p0135,p0440,1,0.845369
p0135,p0337,2,0.843967
p0135,p0191,3,0.810800
p0135,p0178,4,0.805796
p0135,p0422,5,0.805621
p0136,p0330,1,0.831812
p0136,p0289,2,0.829187
p0136,p0317,3,0.810486
p0136,p0337,4,0.808532
p0136,p0201,5,0.807831
p0137,p0139,1,0.886552
p0137,p0340,2,0.836119
p0137,p0138,3,0.830936
p0137,p0223,4,0.817216
p0137,p0253,5,0.816767
p0138,p0139,1,0.894459
p0138,p0353,2,0.860649
p0138,p0324,3,0.860529
p0138,p0132,4,0.842588
p0138,p0391,5,0.839637
p0139,p0138,1,0.894459
p0139,p0137,2,0.886552
p0139,p0353,3,0.861475
p0139,p0340,4,0.844731
p0139,p0324,5,0.842912
p0140,p0487,1,0.825228
p0140,p0491,2,0.818230
p0140,p0406,3,0.808956
p0140,p0460,4,0.807205
p0140,p0059,5,0.806841
p0141,p0374,1,0.840961
p0141,p0051,2,0.840691
p0141,p1110,3,0.837681
p0141,p0209,4,0.836811
p0141,p1099,5,0.836187
p0142,p0045,1,0.869068
p0142,p0389,2,0.867947
p0142,p0493,3,0.840626
p0142,p0051,4,0.837231
p0142,p0198,5,0.835246
p0143,p0383,1,0.800599
p0143,p0208,2,0.800036
p0143,p0336,3,0.797022
p0143,p0391,4,0.793634
p0143,p0314,5,0.791122
p0144,p0178,1,0.821425
p0144,p0374,2,0.819098
p0144,p0214,3,0.815420
p0144,p0171,4,0.815186
p0144,p0157,5,0.812753
p0145,p0144,1,0.771805
p0145,p0374,2,0.729812
p0145,p0377,3,0.724619
p0145,p0148,4,0.723068
p0145,p0379,5,0.697693
p0146,p0377,1,0.833987
p0146,p0148,2,0.806044
p0146,p0113,3,0.766424
p0146,p0374,4,0.765176
p0146,p0195,5,0.764208
p0147,p0386,1,0.768823
p0147,p0388,2,0.760034
p0147,p0377,3,0.757090
p0147,p0370,4,0.755377
p0147,p0387,5,0.754118
p0148,p0378,1,0.833695
p0148,p0146,2,0.806044
p0148,p0374,3,0.805702
p0148,p0386,4,0.794850
p0148,p0376,5,0.794839
p0149,p0156,1,0.853251
p0149,p0150,2,0.852394
p0149,p0094,3,0.795241
p0149,p0108,4,0.793096
p0149,p0159,5,0.792186
p0150,p0156,1,0.869777
p0150,p0084,2,0.866184
p0150,p0036,3,0.861801
p0150,p0086,4,0.860119
p0150,p0149,5,0.852394
p0151,p0059,1,0.859940
p0151,p0194,2,0.857256
p0151,p0496,3,0.852111
p0151,p0150,4,0.851538
p0151,p0157,5,0.840413
p0152,p0153,1,0.852434
p0152,p0169,2,0.840232
p0152,p0391,3,0.839437
p0152,p0160,4,0.833475
p0152,p0444,5,0.831774
p0153,p0152,1,0.852434
p0153,p0064,2,0.833380
p0153,p0371,3,0.806220
p0153,p0232,4,0.804800
p0153,p0281,5,0.798444
p0154,p0227,1,0.826778
p0154,p0233,2,0.824264
p0154,p0160,3,0.812489
p0154,p0340,4,0.809828
p0154,p0221,5,0.806534
p0155,p0440,1,0.814135
p0155,p0113,2,0.798449
p0155,p0322,3,0.798023
p0155,p0230,4,0.789239
p0155,p0191,5,0.784756
p0156,p0150,1,0.869777
p0156,p0157,2,0.863286
p0156,p0149,3,0.853251
p0156,p0384,4,0.852235
p0156,p0367,5,0.847545
p0157,p0156,1,0.863286
p0157,p0176,2,0.850521
p0157,p0151,3,0.840413
p0157,p0370,4,0.831455
p0157,p0284,5,0.820614
p0158,p0295,1,0.828035
p0158,p0230,2,0.825562
p0158,p0152,3,0.823759
p0158,p1466,4,0.808739
p0158,p0270,5,0.808269
p0159,p0170,1,0.834682
p0159,p0173,2,0.833711
p0159,p0178,3,0.833079
p0159,p0339,4,0.832863
p0159,p0046,5,0.829269
p0160,p0440,1,0.869208
p0160,p0169,2,0.864302
p0160,p0152,3,0.833475
p0160,p0170,4,0.827574
p0160,p0444,5,0.826493
p0161,p0266,1,0.840359
p0161,p0163,2,0.836028
p0161,p0066,3,0.821542
p0161,p0340,4,0.810211
p0161,p0173,5,0.807070
p0162,p0164,1,0.923516
p0162,p0179,2,0.836360
p0162,p0229,3,0.808202
p0162,p0046,4,0.791082
p0162,p1720,5,0.787895
p0163,p0161,1,0.836028
p0163,p0173,2,0.806349
p0163,p0071,3,0.802270
p0163,p0431,4,0.796725
p0163,p0066,5,0.794581
p0164,p0162,1,0.923516
p0164,p0179,2,0.871982
p0164,p0068,3,0.807777
p0164,p0046,4,0.806015
p0164,p0166,5,0.800454
p0165,p0497,1,0.888311
p0165,p0069,2,0.866463
p0165,p0070,3,0.843806
p0165,p0059,4,0.842416
p0165,p0053,5,0.841617
p0166,p0214,1,0.831031
p0166,p0597,2,0.820935
p0166,p0527,3,0.820100
p0166,p0668,4,0.806718
p0166,p0508,5,0.803572
p0167,p0175,1,0.793307
p0167,p0426,2,0.792324
p0167,p0227,3,0.781911
p0167,p0160,4,0.780868
p0167,p0153,5,0.777162
p0168,p0440,1,0.795168
p0168,p0178,2,0.775541
p0168,p0169,3,0.770814
p0168,p0194,4,0.755948
p0168,p0316,5,0.755306
p0169,p0440,1,0.921923
p0169,p0160,2,0.864302
p0169,p0337,3,0.856553
p0169,p0322,4,0.853195
p0169,p0213,5,0.849720
p0170,p0159,1,0.834682
p0170,p0160,2,0.827574
p0170,p0266,3,0.815711
p0170,p0175,4,0.813561
p0170,p0873,5,0.809963
p0171,p0144,1,0.815186
p0171,p0157,2,0.807178
p0171,p0370,3,0.799868
p0171,p0305,4,0.794206
p0171,p1576,5,0.792391
p0172,p0221,1,0.835952
p0172,p0178,2,0.822114
p0172,p0420,3,0.819974
p0172,p0358,4,0.812320
p0172,p0083,5,0.807270
p0173,p0230,1,0.856416
p0173,p0219,2,0.846895
p0173,p0431,3,0.845128
p0173,p0339,4,0.844908
p0173,p0286,5,0.835401
p0174,p0441,1,0.891588
p0174,p0297,2,0.816486
p0174,p0284,3,0.807896
p0174,p0092,4,0.801172
p0174,p0156,5,0.784145
p0175,p0444,1,0.913021
p0175,p0445,2,0.864380
p0175,p0281,3,0.852501
p0175,p0295,4,0.840428
p0175,p0314,5,0.823467
p0176,p0157,1,0.850521
p0176,p0156,2,0.822772
p0176,p0230,3,0.811451
p0176,p0128,4,0.804938
p0176,p0313,5,0.803988
p0177,p0185,1,0.787175
p0177,p0188,2,0.771986
p0177,p0252,3,0.767585
p0177,p0158,4,0.759884
p0177,p0440,5,0.759681
p0178,p0440,1,0.873435
p0178,p0156,2,0.845442
p0178,p0367,3,0.843209
p0178,p0441,4,0.837330
p0178,p0159,5,0.833079
p0179,p0164,1,0.871982
p0179,p0046,2,0.845853
p0179,p0150,3,0.843135
p0179,p0162,4,0.836360
p0179,p0151,5,0.828749
p0180,p0188,1,0.812881
p0180,p0169,2,0.806848
p0180,p0205,3,0.806809
p0180,p0335,4,0.803319
p0180,p0196,5,0.803170
p0181,p0331,1,0.851885
p0181,p0240,2,0.823781
p0181,p0367,3,0.820966
p0181,p0241,4,0.818685
p0181,p0214,5,0.801750
p0182,p0134,1,0.783923
p0182,p0391,2,0.782644
p0182,p0439,3,0.779960
p0182,p0169,4,0.779411
p0182,p0143,5,0.779179
p0183,p0351,1,0.853720
p0183,p0203,2,0.836616
p0183,p0353,3,0.830782
p0183,p0322,4,0.805584
p0183,p0391,5,0.795771
p0184,p0098,1,0.816578
p0184,p0335,2,0.816439
p0184,p0323,3,0.793017
p0184,p0102,4,0.771190
p0184,p0191,5,0.762414
p0185,p1466,1,0.832056
p0185,p0289,2,0.821337
p0185,p0233,3,0.807466
p0185,p0230,4,0.790682
p0185,p0391,5,0.789809
p0186,p0206,1,0.828217
